DATOS DEL MODULO GPS
LAT;LON;ALT;DIL
40.40499366666667;-3.7000591666666667;640.1;1.06
40.404993;-3.7000505;640.2;1.06
40.40499333333333;-3.7000561666666667;640.2;1.06
40.404995166666666;-3.7000596666666667;640.1;1.06
40.4049965;-3.7000665;640.0;1.07
40.40499483333333;-3.7000713333333333;640.2;1.11
40.404998666666664;-3.7000871666666666;639.7;1.06
40.404998;-3.7000985;639.7;1.06
40.405000333333334;-3.700121833333333;639.2;0.84
40.404999333333336;-3.7001298333333335;638.7;0.82
40.40500216666667;-3.7001355;638.4;0.82
40.405;-3.700137333333333;637.6;0.82
40.405003666666666;-3.7001515;636.6;0.82
40.405005833333334;-3.700176;635.5;0.82
40.4050075;-3.700182;635.5;1.06
40.4050085;-3.7001975;634.4;0.82
40.40501166666667;-3.7002129999999998;634.6;0.82
40.40501533333333;-3.7002201666666665;634.8;0.86
40.405019833333334;-3.7002326666666665;633.8;0.86
40.405013333333336;-3.700223;633.8;0.87
40.40501283333333;-3.7002256666666664;633.7;1.36
40.4050155;-3.7002276666666667;632.9;1.36
40.40501833333333;-3.7002368333333333;632.5;1.36
40.40502;-3.7002495;632.5;1.36
40.40502583333333;-3.700260833333333;632.3;1.36
40.405029666666664;-3.7002699999999997;632.4;0.89
40.405030333333336;-3.7002723333333334;632.3;0.87
40.4050315;-3.700273;631.7;0.87
40.40503016666667;-3.7002806666666666;631.9;0.91
40.4050265;-3.7002923333333335;631.5;0.89
40.405026666666664;-3.7003006666666667;631.5;1.58
40.405025333333334;-3.700295666666667;631.1;0.90
40.405026666666664;-3.7002936666666666;630.9;0.94
40.40502716666666;-3.700302166666667;630.7;1.80
40.40502683333333;-3.7003031666666666;630.2;1.58
40.405024166666664;-3.700309;629.2;0.86
40.405026666666664;-3.7003441666666665;627.8;0.83
40.405029;-3.700374;627.0;1.36
40.405028333333334;-3.7003935;625.9;1.36
40.405031;-3.7004265;625.0;1.35
40.405025;-3.7004436666666667;624.5;1.36
40.405020666666665;-3.700454166666667;623.9;1.29
40.405021833333336;-3.700473166666667;623.1;1.29
40.40501716666667;-3.7004866666666665;622.6;1.29
40.40501716666667;-3.7004943333333333;622.1;1.27
40.405016833333335;-3.7005071666666667;621.5;1.35
40.405010833333336;-3.700518;621.3;1.35
40.405011;-3.700521833333333;621.1;1.36
40.40500683333333;-3.7005238333333335;621.1;1.29
40.405005333333335;-3.7005288333333333;621.3;1.27
40.405006166666666;-3.7005315;621.6;1.27
40.40500383333333;-3.7005203333333334;621.8;0.82
40.404999833333335;-3.700501666666667;622.4;0.82
40.405001;-3.7004833333333336;623.5;0.82
40.40500266666667;-3.700480833333333;623.3;0.82
40.4049995;-3.700470833333333;624.9;0.82
40.404995166666666;-3.700457166666667;625.5;0.82
40.4049935;-3.700433;626.3;0.82
40.4049905;-3.7004093333333334;626.9;0.82
40.404991833333334;-3.700406;627.4;0.83
40.404990166666664;-3.700396666666667;628.0;1.10
40.4049875;-3.700377666666667;628.6;1.35
40.404990833333336;-3.700375;628.8;1.07
40.40499633333334;-3.7003778333333335;628.8;1.08
40.40499416666667;-3.7003863333333333;629.2;1.33
40.404993833333336;-3.700391333333333;629.2;1.34
40.404998166666665;-3.7003991666666667;629.3;1.39
40.40499666666667;-3.7004025;629.4;1.39
40.404998666666664;-3.7004005;629.5;0.93
40.40500433333333;-3.7003898333333334;629.7;0.93
40.405003666666666;-3.7003895;629.8;0.90
40.405005;-3.7003868333333334;630.1;0.87
40.40500383333333;-3.700404333333333;629.2;0.87
40.40500683333333;-3.7003998333333334;629.1;0.90
40.40500483333334;-3.7003956666666666;629.2;1.46
